Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, 0.12, 0.59, 0.52, 8613.00, 25258.00, 4691.00
0.04, 0.49, 0.15, 0.20, 5191.00, 13142.00, 3099.00
0.08, 0.25, -0.50, 0.84, -19635.00, 32767.00, -9098.00
0.11, -2.00, 0.09, 2.00, 24301.00, 3747.00, -17986.00
0.14, -0.57, 0.46, 1.28, -10552.00, -383.00, -637.00
0.17, -0.25, 0.44, 0.99, -5657.00, -2089.00, -2513.00
0.21, -0.53, 0.48, 1.00, 2225.00, -1637.00, -1292.00
0.24, -0.84, 0.11, 0.88, -1969.00, -3959.00, -4641.00
0.28, -0.60, 0.44, 0.70, -4653.00, 217.00, 820.00
0.31, -0.16, 0.31, 0.72, -8391.00, -2206.00, 1935.00
0.34, 0.08, 0.16, 1.22, -1941.00, -1530.00, 1163.00
0.37, -0.24, 0.54, 0.84, 8276.00, -25.00, -3551.00
0.41, -0.14, 0.35, 0.89, 10790.00, 5049.00, -7495.00
0.44, -0.41, 0.19, 0.72, 4060.00, 1952.00, -6818.00
0.47, -0.47, 0.29, 0.87, -2484.00, -2319.00, -485.00
0.51, -0.56, 0.36, 1.19, 3306.00, -5142.00, 311.00
0.54, -0.47, 0.30, 1.05, 5109.00, -17550.00, 2974.00
0.58, -0.11, 0.27, 0.75, 9263.00, -23473.00, 6233.00
0.61, -0.18, 0.42, 0.66, 12849.00, -22984.00, 10241.00
0.64, 0.03, 0.54, 0.99, 22796.00, -25785.00, 19881.00
0.67, 0.16, 0.40, 0.72, 8814.00, -20600.00, 4200.00
0.71, 0.37, 0.60, 0.54, -6414.00, -21556.00, 1538.00
0.74, 0.70, 0.22, 0.18, -13336.00, -28118.00, -5632.00
0.77, 0.90, 0.07, 0.37, -27851.00, -25964.00, -22881.00
0.81, -1.02, 0.17, 0.74, -2071.00, 25553.00, -9291.00
0.84, 0.28, 0.06, 0.39, 32061.00, 7786.00, 14475.00
0.87, 0.26, -0.08, 0.86, -8480.00, 14302.00, -7513.00
0.91, 0.42, 0.70, 1.05, -4940.00, 5010.00, -4211.00
0.94, 0.44, 0.37, 0.82, -1906.00, 693.00, -2064.00
0.97, 0.41, 0.25, 0.78, -2245.00, 11.00, -9416.00
1.01, 0.40, 0.23, 0.71, -6109.00, -786.00, -14292.00
1.04, 0.33, 0.34, 0.85, -6293.00, 6410.00, -24475.00
1.07, -0.08, 0.52, 0.90, 1077.00, 7341.00, -30491.00
1.11, -0.36, 0.60, 0.86, 4862.00, 7625.00, -30576.00
1.14, -0.45, 0.50, 0.85, 12500.00, 9983.00, -30778.00
1.17, -0.53, 0.61, 0.67, 21901.00, 8403.00, -24536.00
1.21, -0.60, 0.55, 0.70, 24179.00, 4521.00, -17936.00
1.24, -0.64, 0.39, 0.83, 20087.00, -709.00, -13513.00
1.27, -0.61, 0.42, 0.71, 12532.00, -3536.00, -13752.00
1.31, -0.71, 0.53, 0.75, 3650.00, -4177.00, -18990.00
1.34, -0.55, 0.73, 0.55, -928.00, 1600.00, -18294.00
1.37, -0.69, 0.80, 0.85, 3528.00, 4079.00, -19997.00
1.41, -0.74, 0.73, 1.00, 6307.00, 3111.00, -16090.00
1.44, -0.55, 0.55, 0.86, 3517.00, 428.00, -11458.00
1.47, -0.38, 0.23, 0.79, -199.00, 378.00, -12903.00
1.51, -0.60, 0.25, 0.83, 4240.00, 3127.00, -16482.00
1.55, -0.61, 0.36, 0.70, 10749.00, 4010.00, -12618.00
1.57, -0.42, 0.28, 0.59, 7195.00, -430.00, -8067.00
1.61, -0.54, 0.11, 0.84, 4034.00, -1192.00, -770.00
1.64, -0.72, 0.21, 0.66, 4294.00, -3456.00, 1618.00
1.67, -0.60, 0.37, 0.50, 5998.00, -3642.00, 4516.00
1.71, -0.58, 0.24, 0.57, 5095.00, -5873.00, 6867.00
1.74, -0.42, 0.20, 0.54, 5599.00, -7870.00, 8863.00
1.77, -0.46, 0.23, 0.58, 6162.00, -7146.00, 10673.00
1.80, -0.44, 0.20, 0.44, 6014.00, -5558.00, 8381.00
1.84, -0.37, 0.26, 0.37, 2648.00, -7211.00, 3921.00
1.88, -0.38, 0.33, 0.67, -132.00, -13826.00, 936.00
1.90, -0.10, 0.30, 0.92, 985.00, -20207.00, -2087.00
1.94, 0.10, 0.43, 0.59, 4897.00, -26446.00, 1627.00
1.97, -0.06, 0.32, 1.03, 95.00, -30249.00, 4894.00
2.01, -0.15, 0.43, 1.35, 1297.00, -25141.00, 1768.00
2.04, -0.22, 0.38, 0.85, -6682.00, -15852.00, -3507.00
2.07, -0.31, 0.39, 0.64, -12047.00, -10223.00, -6161.00
2.11, -0.23, 0.52, 0.81, -15091.00, -2818.00, -8516.00
2.14, -0.23, 0.62, 1.02, -6612.00, -1832.00, -9570.00
2.17, -0.27, 0.59, 1.13, 1166.00, -3556.00, -2302.00
2.20, -0.34, 0.51, 1.12, 5497.00, -3179.00, 2846.00
2.24, -0.29, 0.47, 1.14, 7654.00, 76.00, 2971.00
2.27, -0.13, 0.46, 1.29, 7134.00, 2014.00, 1482.00
2.30, 0.02, 0.56, 1.49, 6224.00, 1329.00, 1496.00
2.34, 0.22, 0.76, 1.78, 4782.00, -2505.00, 3936.00
2.37, 0.24, 0.85, 1.86, 4356.00, -7694.00, 6874.00
2.40, 0.26, 0.83, 1.04, 4409.00, -9581.00, 6120.00
2.44, 0.18, 0.68, 0.44, 6755.00, -8279.00, 4098.00
2.47, 0.21, 0.57, 0.27, 8548.00, -5053.00, 4468.00
2.51, 0.26, 0.47, 0.53, 5729.00, -3119.00, 4172.00
2.54, 0.33, 0.46, 0.50, 2045.00, -2261.00, 2576.00
2.57, 0.32, 0.43, 0.46, -1711.00, -539.00, -825.00
2.60, 0.27, 0.42, 0.54, -5282.00, 1012.00, -2617.00
2.64, 0.28, 0.50, 0.69, -6946.00, 1555.00, -3204.00
