Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, 0.00, -0.05, 0.94, 1292.00, -658.00, -697.00
0.12, -0.03, -0.02, 1.02, -379.00, -5.00, -356.00
0.24, 0.00, -0.04, 0.91, 788.00, -425.00, -74.00
0.35, 0.01, -0.02, 0.90, -238.00, 755.00, 287.00
0.46, -0.03, -0.02, 1.06, -3627.00, 2939.00, 1065.00
0.58, -0.03, -0.05, 0.97, -223.00, 138.00, -226.00
0.70, -0.02, -0.04, 0.96, 474.00, -1740.00, -635.00
0.81, -0.00, -0.02, 0.98, 154.00, 730.00, -685.00
0.93, -0.02, -0.07, 0.97, 2149.00, -1871.00, 25.00
1.05, -0.00, -0.07, 1.02, -974.00, 870.00, 443.00
1.16, -0.01, -0.05, 0.97, 141.00, 41.00, -584.00
1.27, -0.01, -0.08, 0.86, 1083.00, -1511.00, -133.00
1.39, 0.03, -0.05, 1.05, -3100.00, 3094.00, -2195.00
1.51, -0.03, -0.10, 0.95, 3404.00, -435.00, 918.00
1.62, -0.04, -0.09, 1.07, -1619.00, 872.00, -653.00
1.74, -0.02, -0.11, 0.99, 1356.00, -314.00, 9.00
1.85, -0.02, -0.08, 0.99, 614.00, -43.00, -254.00
1.97, -0.04, -0.06, 0.96, -1570.00, -345.00, 1215.00
2.08, -0.01, -0.11, 0.98, 345.00, -195.00, 847.00
2.19, -0.04, -0.10, 0.99, 681.00, 373.00, -660.00
2.31, -0.04, -0.07, 0.96, -1269.00, -132.00, 606.00
2.43, -0.03, -0.09, 0.93, 464.00, -690.00, -751.00
2.55, -0.04, -0.09, 1.01, 278.00, 1110.00, -157.00
2.66, -0.05, -0.11, 1.04, 81.00, 163.00, -350.00
2.77, -0.05, -0.07, 1.02, 280.00, -154.00, -331.00
2.89, -0.04, -0.09, 1.01, 608.00, -1261.00, -670.00
3.01, -0.02, -0.07, 0.94, 202.00, -472.00, -374.00
3.12, -0.02, -0.08, 0.93, 397.00, -735.00, -218.00
3.24, -0.02, -0.09, 0.98, 895.00, 835.00, -63.00
3.35, -0.04, -0.06, 1.02, 37.00, -565.00, -119.00
3.46, -0.00, -0.07, 0.96, 52.00, 38.00, -142.00
3.58, -0.03, -0.07, 0.97, 95.00, 46.00, 62.00
3.69, -0.03, -0.07, 0.99, 490.00, -152.00, -241.00
3.81, -0.01, -0.06, 0.96, -196.00, 274.00, -17.00
3.92, -0.02, -0.06, 0.99, 375.00, 106.00, -137.00
4.03, -0.01, -0.08, 1.02, -48.00, 366.00, 425.00
4.14, -0.02, -0.08, 1.00, 4.00, -714.00, -162.00
4.26, 0.00, -0.06, 0.92, 61.00, -506.00, -301.00
4.37, -0.01, -0.08, 0.98, -386.00, 189.00, 72.00
4.49, -0.02, -0.08, 1.00, -414.00, 473.00, -71.00
4.60, -0.03, -0.05, 0.99, -385.00, -637.00, -205.00
4.72, 0.02, -0.07, 0.96, -331.00, 1090.00, -12.00
4.83, -0.01, -0.05, 1.02, -208.00, -440.00, -33.00
4.95, -0.01, -0.09, 0.94, 711.00, -1218.00, 63.00
5.06, -0.01, -0.06, 0.96, 30.00, 441.00, -484.00
5.17, -0.02, -0.06, 0.99, -211.00, 91.00, 215.00
5.29, 0.01, -0.08, 0.98, -644.00, 1339.00, -601.00
5.40, -0.01, -0.06, 1.01, -909.00, -98.00, -252.00
5.52, -0.00, -0.11, 0.95, 667.00, 266.00, -359.00
5.63, -0.03, -0.04, 0.96, -275.00, -302.00, -141.00
5.75, 0.02, -0.13, 0.89, 436.00, -1154.00, 59.00
5.86, -0.01, -0.08, 0.98, -931.00, 2239.00, 185.00
