Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, 2.00, -2.00, 2.00, -132.00, 20069.00, -22740.00
0.04, -0.73, 0.61, 2.00, -12471.00, -29721.00, 11051.00
0.08, 0.11, 0.17, 0.44, -785.00, 1006.00, -461.00
0.11, 0.07, 0.16, 1.01, 264.00, 1027.00, -933.00
0.14, -0.04, 0.17, 1.04, -1114.00, 521.00, -813.00
0.18, -0.08, 0.25, 0.99, -820.00, -612.00, 794.00
0.21, -0.06, 0.20, 0.92, -104.00, -702.00, 850.00
0.24, -0.07, 0.17, 0.93, -682.00, -309.00, 1823.00
0.28, -0.07, 0.20, 0.95, -853.00, -68.00, 3498.00
0.31, 0.05, 0.20, 0.99, -1784.00, 883.00, 3008.00
0.34, 0.13, 0.27, 0.94, -1133.00, 1417.00, 1335.00
0.38, 0.14, 0.21, 0.95, -1404.00, 17.00, -1423.00
0.41, 0.09, 0.16, 0.99, -177.00, -596.00, -3016.00
0.44, 0.03, 0.14, 0.97, -338.00, -669.00, -3676.00
0.48, 0.05, 0.12, 0.99, 8.00, -704.00, -4078.00
0.51, 0.04, 0.24, 0.98, 805.00, -1197.00, -4828.00
0.54, -0.01, 0.22, 0.90, 851.00, -1747.00, -4883.00
0.58, -0.02, 0.14, 1.04, 161.00, -628.00, -5287.00
0.61, -0.07, 0.21, 1.03, 621.00, -2468.00, -2681.00
0.64, -0.11, 0.29, 0.96, -238.00, -51.00, 367.00
0.68, -0.12, 0.26, 0.98, 65.00, 3010.00, 3138.00
0.71, 0.01, 0.18, 0.96, 632.00, 2381.00, 3275.00
0.74, 0.07, 0.17, 0.90, 388.00, 1431.00, 2264.00
0.78, -0.13, 0.12, 1.05, 6096.00, 2418.00, 3887.00
0.81, 0.11, 0.21, 1.04, -3006.00, 4811.00, 3080.00
0.84, -0.20, 0.18, 0.98, 1140.00, 3068.00, 8316.00
0.88, -0.14, -0.03, 1.25, 140.00, 4437.00, 5551.00
0.91, -0.12, 0.23, 0.96, 2233.00, 6.00, -1830.00
0.94, -0.02, 0.29, 0.88, 1049.00, -2665.00, -3617.00
0.98, -0.10, 0.25, 0.94, -588.00, 162.00, -1832.00
1.01, -0.13, 0.18, 0.94, 202.00, -853.00, -1575.00
1.04, -0.17, 0.11, 0.97, 2804.00, -1570.00, 622.00
1.08, -0.03, 0.14, 0.95, -1707.00, -1407.00, -1274.00
1.11, -0.13, 0.21, 1.05, -2801.00, -2503.00, -963.00
1.14, -0.04, 0.27, 0.98, -2267.00, -714.00, -213.00
1.18, -0.02, 0.23, 1.03, -449.00, 665.00, 1768.00
1.21, -0.00, 0.11, 0.90, -980.00, 934.00, -810.00
1.24, 0.01, 0.22, 1.10, 449.00, -662.00, -537.00
1.28, -0.13, 0.25, 0.94, 1541.00, -584.00, -30.00
1.31, -0.10, 0.18, 0.94, 661.00, 1061.00, -355.00
1.34, -0.07, 0.24, 0.98, 1019.00, 646.00, 891.00
1.38, -0.01, 0.23, 0.85, 1087.00, 232.00, 1164.00
1.41, 0.01, 0.18, 0.84, 15.00, 99.00, 721.00
1.44, -0.01, 0.23, 1.03, -220.00, -153.00, 270.00
1.48, -0.01, 0.30, 1.10, 697.00, -53.00, -435.00
1.51, -0.03, 0.26, 0.94, 1268.00, -167.00, -688.00
1.54, -0.04, 0.18, 0.91, 804.00, -508.00, -541.00
1.58, -0.20, -0.11, 1.39, 1833.00, -2189.00, -809.00
1.61, 0.02, 0.27, 1.05, 1099.00, -168.00, -1813.00
1.64, -0.10, 0.20, 0.98, 2220.00, 17.00, -1325.00
1.67, -0.05, 0.14, 1.02, 3692.00, 943.00, -518.00
1.71, -0.01, 0.22, 0.92, 5118.00, 1859.00, 292.00
1.74, -0.08, 0.25, 1.04, 7068.00, -445.00, 2382.00
1.77, -0.05, 0.28, 0.95, 7008.00, -1191.00, 1634.00
1.81, 0.00, 0.28, 0.90, 6190.00, -237.00, -235.00
1.84, -0.01, 0.34, 0.84, 5374.00, -1052.00, -1008.00
1.88, -0.01, 0.33, 0.88, 4159.00, -3520.00, -1647.00
1.91, -0.00, 0.34, 0.77, 3470.00, -4302.00, -1195.00
