Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
6.31, -0.06, -0.24, 0.49, 11254.00, 32767.00, -30384.00
6.33, -0.33, -0.21, 0.86, -3329.00, 25652.00, -32768.00
6.36, -2.00, -1.25, 1.85, 3322.00, 15175.00, -31035.00
6.41, -0.10, -0.20, 0.77, 2257.00, -15028.00, -19314.00
6.46, -0.06, -0.36, 0.63, 17096.00, -12000.00, -26851.00
6.51, 0.39, -0.60, 0.51, 31092.00, -6331.00, -32768.00
6.56, 0.01, -0.36, 1.26, 32767.00, -3675.00, -20015.00
6.60, 0.25, -0.66, 1.53, 26214.00, -15619.00, 4225.00
6.65, -0.02, 0.07, 1.35, 20620.00, -11260.00, 428.00
6.69, 0.24, 0.34, 1.16, 14964.00, -5616.00, -8105.00
6.74, 0.33, 0.93, 0.47, -5350.00, -9491.00, -5428.00
6.79, 0.18, 0.18, 1.11, -8683.00, -27942.00, 1127.00
6.83, 0.66, 0.06, 0.97, -10384.00, -9100.00, -2204.00
6.88, 0.51, 0.28, 1.21, -14175.00, -2562.00, -3025.00
6.93, 0.69, 0.16, 1.05, -8977.00, -4173.00, -10260.00
6.97, 0.44, 0.12, 0.99, -4002.00, 2155.00, -8404.00
7.02, 0.55, 0.06, 0.40, -9211.00, 12506.00, -4253.00
7.07, 0.50, -0.06, 0.70, -10156.00, 30072.00, -14712.00
7.11, -0.11, 0.46, 1.84, -3955.00, 26058.00, -5.00
7.16, -0.03, -0.25, 1.48, 1399.00, -12710.00, -2955.00
7.20, 0.20, -0.22, 0.95, 3790.00, -8553.00, -1900.00
7.25, 0.22, -0.25, 1.10, 8038.00, 710.00, -3053.00
7.29, 0.24, 0.05, 0.89, 4995.00, -1226.00, 3993.00
7.34, 0.19, 0.16, 1.09, 2800.00, 193.00, -498.00
7.38, 0.39, -0.10, 0.83, 330.00, 9107.00, 328.00
7.42, 0.15, 0.03, 1.08, 2548.00, -2529.00, -762.00
7.46, 0.33, 0.06, 0.95, 331.00, -841.00, 2542.00
7.51, 0.39, -0.07, 0.99, 100.00, -408.00, -634.00
7.55, 0.33, -0.11, 1.16, 7699.00, 2089.00, 1637.00
7.59, 0.41, -0.07, 1.13, 3132.00, 2698.00, 2930.00
7.64, 0.23, -0.03, 0.85, 4879.00, 501.00, 928.00
7.68, 0.49, 0.37, 0.84, 127.00, 345.00, 2529.00
7.72, 0.16, 0.19, 0.94, 1911.00, 1144.00, 3851.00
7.76, 0.07, 0.31, 1.09, -11599.00, 349.00, -564.00
7.80, 0.11, 0.22, 1.23, -9088.00, -3671.00, 2576.00
7.85, 0.25, 0.17, 1.13, -3807.00, -2703.00, -632.00
7.90, 0.43, -0.03, 0.99, -2304.00, -258.00, -916.00
7.94, 0.27, -0.31, 0.99, 323.00, 1515.00, -6377.00
7.98, 0.20, -0.10, 0.96, 427.00, 1836.00, -3022.00
8.02, 0.25, -0.05, 1.12, 814.00, 80.00, 1028.00
8.06, 0.12, -0.06, 0.74, 1326.00, 4018.00, 3943.00
8.11, 0.47, -0.04, 1.05, 1811.00, 4136.00, 2553.00
8.15, 0.12, 0.10, 1.08, 1980.00, 2677.00, 2241.00
8.19, 0.45, 0.25, 0.75, -3031.00, 5818.00, 4059.00
8.24, -0.19, -0.16, 1.12, -5582.00, 5656.00, 4190.00
8.28, 0.32, -0.22, 1.00, -2009.00, 6864.00, -1999.00
8.33, -0.04, -0.31, 1.20, -2406.00, 5435.00, -2924.00
8.38, 0.10, -0.15, 1.07, 2212.00, 6365.00, 3116.00
8.42, 0.02, -0.17, 0.98, 3525.00, 4073.00, 8784.00
8.46, 0.36, 0.02, 1.02, 6909.00, 1827.00, 8934.00
8.51, -0.13, 0.56, 0.48, -5149.00, -2327.00, 4688.00
8.55, -0.12, -0.70, 1.42, -10342.00, -12854.00, 3135.00
8.60, 0.48, -0.58, 0.89, -718.00, -1283.00, -1425.00
8.65, 0.09, -0.16, 1.09, 7098.00, 1317.00, -115.00
8.69, -0.17, 0.55, 0.67, 12272.00, -16400.00, 658.00
8.74, 0.13, -0.15, 1.37, -3.00, -5382.00, 442.00
8.78, 0.38, -0.01, 0.64, -5808.00, -4946.00, -4449.00
8.83, 0.21, -0.38, 0.98, -25914.00, 1461.00, 332.00
8.87, 0.28, -0.76, 1.07, 1272.00, -167.00, -4423.00
8.92, -0.19, -0.17, 1.26, 827.00, 734.00, -1604.00
8.96, -0.10, -0.27, 1.03, -2481.00, -1324.00, -186.00
9.01, 0.27, -0.29, 0.83, 3906.00, 641.00, -4848.00
9.05, 0.10, -0.35, 1.15, 4453.00, -2327.00, -4201.00
9.09, 0.28, -0.69, 0.77, 18529.00, 15926.00, 1133.00
9.14, 0.24, -0.44, 1.06, 5656.00, 2206.00, 780.00
9.19, 0.19, -0.27, 0.89, 8100.00, 2434.00, 1208.00
9.23, 0.03, -0.13, 0.96, 9401.00, 801.00, 1421.00
9.27, -0.04, -0.13, 1.03, 12829.00, 3834.00, -1931.00
9.32, 0.23, 0.12, 0.82, 14378.00, 7166.00, -7391.00
9.36, 0.01, 0.16, 1.13, 4305.00, 3101.00, 485.00
9.40, -0.06, -0.01, 1.11, 5647.00, 817.00, 96.00
9.44, 0.09, 0.24, 1.12, -11018.00, -5112.00, 5754.00
9.49, 1.15, 0.24, 0.53, -15474.00, -9869.00, 3432.00
9.53, 0.16, -0.10, 0.88, -10974.00, -9326.00, 3525.00
9.58, 0.15, -0.23, 0.96, -87.00, 1149.00, -808.00
