Backpack Acceleration Sensor, Human Sensor Module
time, accX, accY, accZ, gyX, gyY, gyZ
0.00, -0.99, -0.26, 0.86, 4345.00, -3643.00, -49.00
0.04, -1.00, -0.10, 1.03, 8154.00, 85.00, -2963.00
0.08, -0.99, -0.28, 1.00, 1080.00, -3320.00, -6343.00
0.11, -0.65, -0.36, 0.67, 85.00, -862.00, -3757.00
0.14, -0.71, -0.41, 0.67, 2399.00, 2089.00, 1718.00
0.18, -0.72, -0.42, 0.78, 4834.00, 537.00, 6318.00
0.21, -0.74, -0.40, 0.81, 4843.00, -2616.00, 8278.00
0.24, -0.79, -0.45, 0.94, -1141.00, -3027.00, 7398.00
0.28, -0.79, -0.46, 0.93, -6032.00, 205.00, 9563.00
0.31, -0.85, -0.37, 1.10, -8050.00, -3832.00, 7010.00
0.34, -0.97, -0.19, 1.22, -6431.00, -10754.00, 3632.00
0.38, -0.25, 0.31, 1.09, 11088.00, 2564.00, -3702.00
0.41, -0.23, -0.35, 1.15, -3333.00, 9042.00, -12882.00
0.44, -0.50, -0.22, 1.02, 4743.00, 3949.00, -14348.00
0.48, -0.33, -0.53, 0.79, 4260.00, 2955.00, -4986.00
0.51, -0.32, -0.44, 0.67, -1655.00, 1341.00, -5081.00
0.54, -0.37, -0.38, 0.68, -3681.00, 1771.00, -6710.00
0.58, -0.34, -0.30, 0.55, -6458.00, 6332.00, -9026.00
0.61, -0.31, -0.30, 0.59, -10745.00, 6524.00, -14132.00
0.64, -0.49, -0.30, 0.56, -7570.00, 7147.00, -14821.00
0.68, -0.42, -0.43, 0.54, -3049.00, 5163.00, -12482.00
0.71, -0.27, -0.57, 0.39, -3250.00, -2008.00, -8840.00
0.74, -0.38, -0.61, 0.44, -194.00, -10980.00, -1778.00
0.78, -0.12, -0.36, 0.35, 1780.00, -14907.00, 586.00
0.81, 0.02, -0.21, 0.22, 4418.00, -18844.00, 3189.00
0.84, -0.07, -0.01, 0.48, 14284.00, -21187.00, 6538.00
0.88, 0.18, 0.10, 0.48, 19681.00, -25181.00, 5397.00
0.91, 0.10, 0.15, 0.74, 21531.00, -17303.00, -4437.00
0.94, -0.04, -0.32, 0.79, 32767.00, -22583.00, 1152.00
0.98, -0.00, -0.73, 1.08, 21166.00, -23800.00, 5719.00
1.01, -0.12, 0.15, 1.10, 20563.00, -32768.00, 20020.00
1.04, 0.44, 0.90, 1.68, -3189.00, 1930.00, -17107.00
1.08, 0.43, -0.05, 0.60, 3056.00, 491.00, -14778.00
1.11, 0.31, -0.14, 0.45, 13308.00, 14418.00, -6746.00
1.14, 0.67, -0.19, 0.60, -3956.00, 8537.00, -10313.00
1.18, 0.51, 0.45, 0.24, -11604.00, 13611.00, -5517.00
1.21, -0.53, 0.14, 1.24, -3038.00, 3754.00, -2444.00
1.24, 0.25, -0.39, 1.02, -2155.00, -2198.00, -4218.00
1.28, -0.92, 0.15, 1.80, -198.00, -25639.00, -19921.00
1.31, -0.51, 0.37, 1.43, -5604.00, -24597.00, -7069.00
1.34, 0.02, 0.19, 1.22, -3510.00, 2877.00, -645.00
1.37, 0.24, -0.08, 1.23, 1039.00, 7686.00, -4519.00
1.41, 0.27, 0.03, 1.04, 1736.00, -1758.00, -7621.00
1.44, 0.09, 0.04, 0.97, 1004.00, -2418.00, -8483.00
1.48, 0.16, -0.13, 1.07, 44.00, -501.00, -8680.00
1.51, 0.15, 0.02, 0.98, 5385.00, -4460.00, -10750.00
1.54, 0.20, 0.17, 0.79, 9981.00, -10802.00, -8189.00
1.58, 0.63, 0.17, 0.61, 9900.00, -12130.00, 1851.00
1.61, -0.15, -0.10, 0.99, 11598.00, -15593.00, -7029.00
